RULES & ADMINISTRATION RULES & ADMINISTRATION S.RES. 64B(113TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,58
JUDICIARY JUDICIARY - S.RES. 81D (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,3
SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,992
SENATOR MARK KIRK Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,816
SENATOR WILLIAM COWAN Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,384
SPECIAL COMMITTEE ON AGING SPECIAL COM ON AGING S.RES. 81C (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,4
SENATOR CHRIS MURPHY Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,483
"MINORITY LEADER (R) Funding Year 2012 EXP. ALLOWANCES OF THE VICE PRES., PRES. PRO TEMPORE, MAJ AND MIN LEADERS AND MAJ AND MIN WHIPS AND CHAIRMEN OF THE MAJ AND MIN CONFERENCE AND POLICY COMMITTEES, SENATE",2
SENATOR JAMES E. RISCH Funding Year 2012 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,638
SENATOR MARK UDALL (CO) Funding Year 2012 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,841
SENATOR RICHARD C. SHELBY Funding Year 2012 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,302
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES Funding Year 2010 OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,2
RESOLUTION & REORGANIZATION RESERVE Funding Year 1315 MISCELLANEOUS ITEMS,416
SENATOR JIM WEBB Funding Year 2011 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,343
"BANKING, HOUSING & URBAN AFFAIRS BANKING,HOUSING &URBDEV S.RES.73D(111TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",5
SENATOR JEFF MERKLEY Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,554
ETHICS COMMITTEE ON ETHICS - FY 2013 EXPENSES OF INQUIRIES AND INVESTIGATIONS,38
SENATOR DAVID VITTER Funding Year 2012 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,892
SENATOR ROGER WICKER Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,653
SENATOR EDWARD KAUFMAN Funding Year 2011 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,1
SENATE HAIR CARE Funding Year X SENATE HAIR CARE SERVICES REVOLVING FUND,55
SENATOR SAXBY CHAMBLISS Funding Year 2012 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,1934
FINANCE FINANCE - S.RES. 73D (111TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,7
SENATOR BEN NELSON Funding Year 2011 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,589
VETERANS' AFFAIRS VETERANS' AFFAIRS - S.RES. 81C (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,9
SENATOR RICHARD G. LUGAR Funding Year 2011 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,599
"SECRETARY FOR THE MAJORITY (D) Funding Year 2011 SECRETARY OF THE SENATE, SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE AND SECRETARIES FOR THE MAJORITY AND THE MINORITY OF THE SENATE",1
SENATOR MARK UDALL (CO) Funding Year 2011 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,575
SENATOR MARCO RUBIO Funding Year 2012 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,994
SENATOR KENT CONRAD Funding Year 2011 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,291
SENATOR ROGER WICKER Funding Year 2011 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,479
SENATOR KAY BAILEY HUTCHISON Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,252
SENATOR FRANK R. LAUTENBERG Funding Year 2012 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,602
SENATOR KAY BAILEY HUTCHISON Funding Year 2009 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,1
SENATOR AMY KLOBUCHAR Funding Year 2012 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,1122
LEGISLATIVE COUNSEL Funding Year 2012 LEGISLATIVE COUNSEL,95
"COMMERCE, SCIENCE & TRANSPORTATION COMMERCE, SCI & TRANS S.RES. 81D (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS DOCUMENT NO. DATE POSTED",63
RULES & ADMINISTRATION RULES & ADMINISTRATION S.RES. 73D(111TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,2
SMALL BUSINESS AND ENTREPRENEURSHIP SMALL BUS & ENTREP.- S.RES. 81C (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS DOCUMENT NO. DATE POSTED,344
DO DOCUM ENT NO CUME DA DATTE PAY PA YEE NA NAME POST POSTED ED,66
SENATOR MARCO RUBIO Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,800
SENATOR BOB CORKER Funding Year 2010 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,1
SENATOR ELIZABETH WARREN Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,327
MINORITY WHIP (R) Funding Year 2011 MISCELLANEOUS ITEMS,10
VETERANS' AFFAIRS VETERANS' AFFAIRS - S.RES. 81C (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS DOCUMENT NO. DATE POSTED,157
SENATOR BEN NELSON Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,199
ENERGY & NATURAL RESOURCES ENERGY & NATURAL S.RES. 81C (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS DOCUMENT NO. DATE POSTED,200
FOREIGN RELATIONS FOREIGN RELATIONS - S.RES. 89D (110TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,1
"OFFICE OF THE VICE PRESIDENT (D) - BIDEN Funding Year 2013 EXP. ALLOWANCES OF THE VICE PRES., PRES. PRO TEMPORE, MAJ AND MIN LEADERS AND MAJ AND MIN WHIPS AND CHAIRMEN OF THE MAJ AND MIN CONFERENCE AND POLICY COMMITTEES, SENATE",1
"MAJORITY POLICY COMMITTEE (D) Funding Year 2013 SALARIES, OFFICERS AND EMPLOYEES, SENATE",50
"MAJORITY POLICY COMMITTEE (D) Funding Year 2012 SALARIES, OFFICERS AND EMPLOYEES, SENATE",49
MINORITY POLICY COMMITTEE (R) Funding Year 2010 MISCELLANEOUS ITEMS,3
SENATOR MICHAEL BENNET Funding Year 2012 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,903
SENATOR RICHARD G. LUGAR Funding Year 2010 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,6
SPECIAL COMMITTEE ON AGING SPECIAL COM ON AGING S.RES. 81D (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,21
SENATOR RAND PAUL Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,1784
"DETAILED COM CO MPENSAT PENSATIION OF EMB OF MEM B ERS UNDING FUNDING YEAR 20 2011 CO COMMPENSAT PENSATIION OF EMB OF MEM B ERS, SENAT SENATE E DOCUM DO CUME ENT NO DAT DA TE POST POSTED ED",18
"SECRETARY, MAJORITY CONFERENCE COMM (D) Funding Year 2013 SALARIES, OFFICERS AND EMPLOYEES, SENATE",8
BUDGET BUDGET - S.RES. 73D (111TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,7
"CHAPLAIN Funding Year 2011 SALARIES, OFFICERS AND EMPLOYEES, SENATE",4
BUDGET BUDGET - S.RES. 81C (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS DOCUMENT NO. DATE POSTED,225
SENATOR MICHAEL BENNET Funding Year 2011 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,524
SENATOR TOM COBURN Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,917
SENATOR BOB CORKER Funding Year 2013 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,1265
SENATOR MARCO RUBIO Funding Year 2011 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,547
INDIAN AFFAIRS INDIAN AFFAIRS - S.RES. 81B (112TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS DOCUMENT NO. DATE POSTED,181
